央视频道,#genre#
CCTV1,http://122.245.101.118:8081/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://122.245.101.118:8081/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://122.245.101.118:8081/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://122.245.101.118:8081/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://222.217.246.91:8181/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://122.245.101.118:8081/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://222.217.246.91:8181/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://122.245.101.118:8081/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://122.245.101.118:8081/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://122.245.101.118:8081/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://222.217.246.91:8181/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://122.245.101.118:8081/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://122.245.101.118:8081/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://122.245.101.118:8081/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://122.245.101.118:8081/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://122.245.101.118:8081/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16赛事,http://122.245.101.118:8081/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
卫视频道,#genre#
东南卫视,http://122.245.101.118:8081/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0
内蒙古卫视,http://222.217.246.91:8181/tsfile/live/0109_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://122.245.101.118:8081/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://222.217.246.91:8181/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://122.245.101.118:8081/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://122.245.101.118:8081/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://222.217.246.91:8181/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://122.245.101.118:8081/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://122.245.101.118:8081/tsfile/live/0127_1.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://122.245.101.118:8081/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://122.245.101.118:8081/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://122.245.101.118:8081/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://122.245.101.118:8081/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://122.245.101.118:8081/tsfile/live/0128_1.m3u8?key=txiptv&playlive=0&authid=0
辽宁卫视,http://122.245.101.118:8081/tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0
辽宁卫视lt,http://222.217.246.91:8181/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://122.245.101.118:8081/tsfile/live/0140_1.m3u8?key=txiptv&playlive=0&authid=0
其他频道,#genre#
XF有线电的高娱乐1,http://222.217.246.91:8181/tsfile/live/1075_1.m3u8?key=txiptv&playlive=1&authid=0
XF有线电视娱乐2,http://222.217.246.91:8181/tsfile/live/1076_1.m3u8?key=txiptv&playlive=1&authid=0
XF北流台,http://222.217.246.91:8181/tsfile/live/1078_1.m3u8?key=txiptv&playlive=1&authid=0
XF广州台,http://222.217.246.91:8181/tsfile/live/1086_1.m3u8?key=txiptv&playlive=1&authid=0
XF有线电影,http://222.217.246.91:8181/tsfile/live/1081_1.m3u8?key=txiptv&playlive=1&authid=0
XF本港台（珠江）,http://222.217.246.91:8181/tsfile/live/1073_1.m3u8?key=txiptv&playlive=1&authid=0
XF牛哥台,http://222.217.246.91:8181/tsfile/live/1074_1.m3u8?key=txiptv&playlive=1&authid=0
丽水新闻,http://122.245.101.118:8081/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
先锋乒羽,http://222.217.246.91:8181/tsfile/live/1064_1.m3u8?key=txiptv&playlive=0&authid=0
新动漫,http://222.217.246.91:8181/tsfile/live/1063_1.m3u8?key=txiptv&playlive=0&authid=0
杭州生活,http://122.245.101.118:8081/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
爱旅行,http://122.245.101.118:8081/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0
金牌综艺,http://122.245.101.118:8081/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
